Entity,Code,Year,Chartbook of Economic Inequality (2016) â€“ Gini
United Kingdom,GBR,1961,26.1
United Kingdom,GBR,1962,24.8
United Kingdom,GBR,1963,27.1
United Kingdom,GBR,1964,26.4
United Kingdom,GBR,1965,25.1
United Kingdom,GBR,1966,26.1
United Kingdom,GBR,1967,25.1
United Kingdom,GBR,1968,25
United Kingdom,GBR,1969,25.7
United Kingdom,GBR,1970,25.9
United Kingdom,GBR,1971,26.6
United Kingdom,GBR,1972,26.9
United Kingdom,GBR,1973,25.9
United Kingdom,GBR,1974,25.1
United Kingdom,GBR,1975,24.3
United Kingdom,GBR,1976,24.3
United Kingdom,GBR,1977,23.9
United Kingdom,GBR,1978,24
United Kingdom,GBR,1979,25.3
United Kingdom,GBR,1980,25.7
United Kingdom,GBR,1981,26.3
United Kingdom,GBR,1982,26.1
United Kingdom,GBR,1983,26.8
United Kingdom,GBR,1984,27
United Kingdom,GBR,1985,28.2
United Kingdom,GBR,1986,29.1
United Kingdom,GBR,1987,30.5
United Kingdom,GBR,1988,32.3
United Kingdom,GBR,1989,32.7
United Kingdom,GBR,1990,33.9
United Kingdom,GBR,1991,34.1
United Kingdom,GBR,1992,34
United Kingdom,GBR,1993,34
United Kingdom,GBR,1994,33.3
United Kingdom,GBR,1995,33.3
United Kingdom,GBR,1996,33.3
United Kingdom,GBR,1997,34.1
United Kingdom,GBR,1998,34.8
United Kingdom,GBR,1999,34.6
United Kingdom,GBR,2000,35.3
United Kingdom,GBR,2001,34.9
United Kingdom,GBR,2002,34.28
United Kingdom,GBR,2003,33.87
United Kingdom,GBR,2004,33.97
United Kingdom,GBR,2005,34.46
United Kingdom,GBR,2006,35.06
United Kingdom,GBR,2007,35.7
United Kingdom,GBR,2008,35.55
United Kingdom,GBR,2009,35.67
United Kingdom,GBR,2010,33.66
United Kingdom,GBR,2011,33.96
United Kingdom,GBR,2012,33.55
United Kingdom,GBR,2013,34.2
United States,USA,1918,40.26
United States,USA,1929,48.24
United States,USA,1936,45.54
United States,USA,1941,43.12
United States,USA,1944,39.15
United States,USA,1945,36.9
United States,USA,1947,38.61
United States,USA,1948,38.07
United States,USA,1949,38.43
United States,USA,1950,38.7
United States,USA,1951,37.35
United States,USA,1952,37.35
United States,USA,1954,38.52
United States,USA,1955,37.71
United States,USA,1956,37.26
United States,USA,1957,37.53
United States,USA,1958,37.35
United States,USA,1959,37.89
United States,USA,1960,37.98
United States,USA,1961,38.79
United States,USA,1962,37.8
United States,USA,1963,37.53
United States,USA,1964,37.62
United States,USA,1965,37.44
United States,USA,1966,37.08
United States,USA,1967,37.35
United States,USA,1968,36.25
United States,USA,1969,36.45
United States,USA,1970,36.85
United States,USA,1971,37.05
United States,USA,1972,37.35
United States,USA,1973,37.15
United States,USA,1974,36.55
United States,USA,1975,37.05
United States,USA,1976,37.05
United States,USA,1977,37.35
United States,USA,1978,37.45
United States,USA,1979,37.75
United States,USA,1980,37.85
United States,USA,1981,38.45
United States,USA,1982,39.55
United States,USA,1983,40.05
United States,USA,1984,40.05
United States,USA,1985,40.55
United States,USA,1986,40.85
United States,USA,1987,41.05
United States,USA,1988,41.35
United States,USA,1989,41.95
United States,USA,1990,41.75
United States,USA,1991,41.75
United States,USA,1992,42.45
United States,USA,1993,43.6
United States,USA,1994,43.6
United States,USA,1995,43.3
United States,USA,1996,43.7
United States,USA,1997,44
United States,USA,1998,43.9
United States,USA,1999,44.1
United States,USA,2000,44.2
United States,USA,2001,44.6
United States,USA,2002,44.3
United States,USA,2003,44.5
United States,USA,2004,44.7
United States,USA,2005,45
United States,USA,2006,45.2
United States,USA,2007,44.4
United States,USA,2008,45
United States,USA,2009,45.6
United States,USA,2010,45.6
United States,USA,2011,46.3
United States,USA,2012,46.3
United States,USA,2013,45.9
United States,USA,2014,45.6
